story_qn,answer_text
Why is there an error icon next to the Documentation tab of my feature?,"An error icon next to the Documentation tab of your feature indicates that an **action is needed** to release that feature. 

Please click on the error icon to get more information."
How can I delete an innovation?,You can easily delete an innovation by clicking on the **Delete** button at the bottom of the innovation.
How can I delete an innovation,
How can I delete an innovation?,
How to delete an innovation?,
How can you delete an innovation?,
How can I delete an innovation?,
How can I delete an innovation?,
How can I delete an innovation?,
What is an Improvement Note?,"An Improvement note is an SAP note related to a customer improvement. 

If you create a feature from an improvement note, all relevant data from the improvement note will be copied into the feature. "
How can I add multiple software component versions to a product feature?,A Product Feature can be linked to only **one** Software component version.
Why do I see strange characters in my feature description?,"If you see strange characters in your feature description, [**create a ticket**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_IFR/IFR%3A%20Strange%20characters%20appearing%20in%20product%20feature%20description/2/null/null/Dear%20colleagues%2C%0A%0AStrange%20characters%20are%20appearing%20in%20my%20product%20feature%20description.%0A%0AProduct%20Feature%20%3C%3E%0A%0ACan%20you%20please%20help%20me%20with%20this~60%0A%0ABest%20regards%2C%0A%3C%3E) with the necessary details.

Our amazing Innovation & Feature Repository team will handle the rest! 😊"
Why can't I add multiple products to my innovation?,Multiple products can be added only to **Technology** innovations.
Why is the Support Package toggle button disabled?,"The Support Package toggle button may be disabled for the following reasons:

- You are not a **stakeholder** for the feature. 
- The product version linked to the feature **does not have** a support package."
How can I add a support package stack to a published innovation?,"It is **not** possible to add a support package stack to a delivered published innovation.

In exceptional cases, [**create a ticket**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_IFR/IFR%3A%20Change%20the%20status%20of%20my%20innovation/2/null/null/Dear%20colleagues%2C%0A%0ACan%20you%20please%20help%20me%20change%20the%20status%20of%20my%20innovation%20from%20%3C%3E%20to%20%3C%3E~60%0A%0AInnovation%20%3C%3E%0A%0AReason%20for%20changing%20the%20status%20%3C%3E%0A%0ABest%20regards%2C%0A%3C%3E) to unpublish your innovation.

Once this is done, you can add a support package to your innovation."
Why can't I change the deployment type of my innovation?,"If you are unable to change the deployment type of your innovation, the info icon next to it would provide the reason. 

Other reasons for being unable to change the context could be:

- You are not a **stakeholder** for the innovation. 
- Innovation is **external published** and visible to SAP customers.
- Innovation is **locked** by you (e.g. the innovation is open in another browser window). "
Why can’t I change the context of my innovation?,"If you are unable to change the context of your innovation, the info icon next to the context field can help you with the reason. 

Reasons for being unable to change the context could include:

- You are not a **stakeholder** for the innovation. 
- Innovation is **external published** and visible to SAP customers.
- Innovation is **locked** by you (e.g. the innovation is open in another browser window). "
Can I change the product of a published innovation?,It is **not** possible to change the product of a published innovation.
What is the difference between an external planned innovation and an external delivered innovation?,"An **external planned innovation** informs SAP customers about the planned features of your product. 

An **external delivered innovation** informs SAP customers about the available features of your product."
Why is my published innovation not displayed in Innovation Discovery?,"Published innovations are extracted to Innovation Discovery once a day.

Your published innovation will be visible in Innovation Discovery within a day of publishing. 

If this does not happen, [**create a ticket**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_IFR/IFR%3A%20Innovation%20not%20available%20on%20the%20Innovation%20Discovery/2/null/null/Dear%20colleagues%2C%0A%0AI%20have%20published%20my%20innovation%20but%20it%20is%20not%20visible%20on%20the%20Innovation%20Discovery.%0A%0AInnovation%20%3C%3E%0A%0APublishing%20Date%20%3C%3E%0A%0ACan%20you%20please%20help%20me%20with%20this~60%0A%0ABest%20regards%2C%0A%3C%3E) with the necessary details.

Our amazing Innovation & Feature Repository team will handle the rest! 😊"
How can I edit product features that have already been published?,"Product features that have already been published **cannot** be edited.

In exceptional situations, please [**create a ticket**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_IFR/IFR%3A%20Change%20the%20status%20of%20my%20product%20feature/2/null/null/Dear%20colleagues%2C%0A%0ACan%20you%20please%20help%20me%20change%20the%20status%20of%20my%20product%20feature%20from%20%3C%3E%20to%20%3C%3E~60%0A%0AProduct%20Feature%20%3C%3E%0A%0AReason%20for%20changing%20the%20status%20%3C%3E%0A%0ABest%20regards%2C%0A%3C%3E) with the necessary details.

Our amazing Innovation & Feature Repository team will handle the rest! 😊"
How can I see changes made by a Brand Voice editor to my innovation?,"To see changes made by a Brand Voice editor to your innovation:

1. Navigate to the **Publishing Progress** section of your innovation.
2. Click on **See Changes** below **Brand Voice done**."
How can I see changes made by a BrandVoice editor to my innovation?,
"When I copy a feature, do its innovations get copied too?","When you copy a feature, its innovations do **not** get copied."
What is the ideal length of a feature description?,The ideal length of a feature description is between 100 characters (minimum) and 2500 characters (maximum).
How are the suggested authors of an innovation chosen?,The suggested authors of an innovation are those who were most recently added by you as stakeholders and authors. 
Do I need to have my innovation reviewed?,"Having an innovation reviewed is optional, but strongly recommended.

The reviewer of an innovation typically cross checks the content of the innovation, e.g. innovation description & assignment of solution capabilities."
Why can't I edit anything on the screen?,"You cannot edit in the following cases:

- Innovation is locked by you 
- You are not a stakeholder for the product feature 

If you are still unable to edit, please [**create a ticket**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_IFR/IFR%3A%20Unable%20to%20edit%20my%20innovation/03/null/null/Dear%20colleagues%2C%0A%0AI%20am%20unable%20to%20edit%20my%20innovation.%20%0A%0AInnovation%20%3C%3E%0A%0ACan%20you%20please%20help%20me%20with%20this~60%0A%0ABest%20regards%2C%0A%3C%3E) with the necessary details. 

Our amazing Innovation & Feature Repository team will handle the rest! 😊"
How can I change the estimated RTC date for my innovation?,"The estimated RTC date of an innovation can only be changed in specific situations. 

More details are available in our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/IFR/Context)."
How can I change the RTC date for my innovation?,
What is the difference between Planned Scope and Scope?,"Planned Scope is the scope of a **planned** innovation.

Scope is the scope of a **delivered** innovation."
